flat,badrooms,bathrooms,location,sqm,price
True,3,1,Naramowice,20,389000.0
True,2,2,Grunwald,35,325000.0
False,3,2,Winogrady,21,391729.0
True,3,3,Grunwald,23,479000.0
True,2,10,Grunwald,42,249000.0
True,2,5,Centrum,49,286000.0
True,2,4,Piątkowo,49,313000.0
True,3,1,Rataje,62,409000.0
True,2,1,Nowe,49,255000.0
True,3,4,Jeżyce,50,270000.0
True,2,1,Grunwald,68,699000.0
True,2,3,Wilda,53,330000.0
True,3,16,Rataje,80,335000.0
True,3,3,Grunwald,70,488000.0
True,3,1,Jeżyce,65,339000.0
True,3,5,Grunwald,81,410000.0
True,2,4,Naramowice,43,269000.0
True,5,7,Grunwald,91,710000.0
False,3,5,Grunwald,58,359600.0
False,2,2,Jeżyce,50,249441.0
True,4,1,Grunwald,95,440000.0
True,3,2,Jeżyce,50,389000.0
True,4,3,Rataje,90,590000.0
False,3,2,Nowe,45,706655.0
True,2,6,Rataje,70,269000.0
True,2,16,Rataje,36,240000.0
True,2,2,Centrum,53,310000.0
False,3,0,Nowe,64,240000.0
True,2,0,Grunwald,52,230000.0
True,4,1,Centrum,142,770000.0
True,2,4,Rataje,44,249000.0
True,2,1,Rataje,54,350000.0
True,2,4,Piątkowo,49,313000.0
True,2,2,Śródka,72,310000.0
True,4,0,Wilda,50,569000.0
True,4,2,Bonin,87,460000.0
True,2,2,Centrum,55,485000.0
True,2,5,Centrum,80,286000.0
True,3,1,Grunwald,62,364000.0
True,3,3,Wilda,66,299000.0
True,2,5,Wilda,30,365000.0
True,2,10,Grunwald,38,237000.0
True,4,6,Rataje,85,425000.0
True,2,1,Grunwald,60,332160.0
True,2,1,Dębiec,37,230000.0
True,2,10,Grunwald,42,249000.0
True,3,4,Rataje,48,270000.0
True,2,4,Jeżyce,56,350000.0
True,2,3,Grunwald,56,309000.0
True,2,0,Stare,50,283500.0
False,2,0,Nowe,29,177595.0
True,2,2,Centrum,53,339000.0
True,3,1,Grunwald,65,399000.0
True,3,3,Piątkowo,60,329000.0
False,3,2,Nowe,45,706655.0
True,2,2,Jeżyce,42,289000.0
True,3,0,Wilda,67,389000.0
True,3,4,Wilda,40,375000.0
True,3,2,Wilda,66,319000.0
True,3,0,Grunwald,60,310000.0
True,2,12,Winogrady,47,252000.0
False,2,4,Zawady,71,249147.0
True,4,0,Winogrady,80,649000.0
True,2,0,Grunwald,37,204000.0
True,3,4,Rataje,84,389000.0
True,3,0,Grunwald,87,369000.0
True,2,1,Naramowice,52,300000.0
True,4,2,Sołacz,87,470000.0
True,2,1,Winogrady,39,326000.0
True,3,4,Stare,60,655000.0
True,3,9,Rataje,65,348000.0
True,3,1,Bonin,68,399000.0
True,3,2,Podolany,68,390000.0
True,2,0,Centrum,40,265000.0
True,3,4,Winogrady,54,279999.0
True,3,9,Jeżyce,49,280000.0
True,2,0,Malta,56,419000.0
True,2,4,Grunwald,38,249000.0
True,2,3,Żegrze,49,259000.0
True,2,0,Jeżyce,20,270000.0
True,3,2,Grunwald,39,349000.0
True,2,3,Piątkowo,60,349000.0
True,3,1,Grunwald,84,548000.0
True,2,10,Grunwald,43,249000.0
True,3,2,Dąbrowskiego,106,549000.0
True,2,6,Piątkowo,49,290000.0
False,4,2,Starołęka,14,442827.0
True,3,0,Grunwald,63,530000.0
True,3,1,Plewiska,50,279000.0
True,2,5,Rataje,50,410000.0
True,3,1,Wilda,50,396000.0
True,2,1,Stare,60,279000.0
True,3,4,Piątkowo,16,399000.0
True,2,2,Jeżyce,45,329000.0
True,3,10,Grunwald,52,270000.0
True,2,0,Centrum,57,360000.0
True,3,2,Grunwald,20,255000.0
True,3,1,Grunwald,100,395000.0
True,2,0,Grunwald,49,139000.0
True,3,4,Winogrady,50,320000.0
True,4,0,Stare,100,899000.0
True,2,2,Dębiec,44,237000.0
True,3,1,Rataje,70,425000.0
True,2,0,Winogrady,53,315000.0
True,2,2,Centrum,55,485000.0
True,3,1,Żegrze,88,365000.0
True,3,1,Winogrady,17,345000.0
True,3,3,Rataje,50,319000.0
True,2,0,Dębiec,50,265000.0
True,4,5,Centrum,106,978000.0
True,2,5,Centrum,53,489000.0
True,3,3,Centrum,80,382280.0
True,2,6,Winogrady,30,267900.0
True,2,3,Łazarz,47,259000.0
True,2,4,Rataje,63,280000.0
True,4,1,Wilda,31,250000.0
True,2,2,Naramowice,16,340000.0
True,2,0,Podolany,27,160000.0
True,2,0,Centrum,60,390000.0
True,2,1,Winogrady,30,469000.0
True,3,4,Dębiec,50,429000.0
